"Indizes / Veränderungen","Nominal / Real","Branche / Warengruppe","Monat","Unbereinigt","Kalenderbereinigt","Saisonbereinigt","Trend"
"Indizes","Nominal","47: Total Detailhandel","2004M05",89.8,91.5,89.2,88.7
"Indizes","Nominal","47: Total Detailhandel","2004M06",85.6,84.6,89.1,88.5
"Indizes","Nominal","47: Total Detailhandel","2004M07",87.1,85.6,87.8,88.3
"Indizes","Nominal","47: Total Detailhandel","2004M08",82.1,82.0,87.6,88.1
"Indizes","Nominal","47: Total Detailhandel","2004M09",86.0,85.1,88.2,88.0
"Indizes","Nominal","47: Total Detailhandel","2004M10",88.9,89.3,87.9,88.1
"Indizes","Nominal","47: Total Detailhandel","2004M11",94.4,94.4,88.8,88.4
"Indizes","Nominal","47: Total Detailhandel","2004M12",109.7,107.1,87.8,88.8
"Indizes","Nominal","47: Total Detailhandel","2005M01",86.7,87.3,89.3,89.4
"Indizes","Nominal","47: Total Detailhandel","2005M02",81.1,81.6,90.1,89.8
"Indizes","Nominal","47: Total Detailhandel","2005M03",88.9,88.5,90.7,90.2
"Indizes","Nominal","47: Total Detailhandel","2005M04",90.8,89.0,90.4,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M05",89.6,91.0,88.8,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M06",88.0,86.6,90.9,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M07",88.1,88.5,90.2,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M08",85.6,85.0,90.3,90.3
"Indizes","Nominal","47: Total Detailhandel","2005M09",87.3,86.3,89.8,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M10",91.5,92.5,91.2,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M11",96.3,95.7,90.4,90.4
"Indizes","Nominal","47: Total Detailhandel","2005M12",112.8,108.8,89.5,90.5
"Indizes","Nominal","47: Total Detailhandel","2006M01",89.6,89.3,91.3,90.7
"Indizes","Nominal","47: Total Detailhandel","2006M02",81.6,82.2,90.9,90.9
"Indizes","Nominal","47: Total Detailhandel","2006M03",89.5,88.5,90.6,91.2
"Indizes","Nominal","47: Total Detailhandel","2006M04",90.0,90.4,91.9,91.6
"Indizes","Nominal","47: Total Detailhandel","2006M05",95.0,93.9,91.7,92.0
"Indizes","Nominal","47: Total Detailhandel","2006M06",88.8,88.5,92.5,92.2
"Indizes","Nominal","47: Total Detailhandel","2006M07",90.2,91.2,92.5,92.3
"Indizes","Nominal","47: Total Detailhandel","2006M08",89.7,88.8,93.9,92.3
"Indizes","Nominal","47: Total Detailhandel","2006M09",89.1,88.0,91.8,92.4
"Indizes","Nominal","47: Total Detailhandel","2006M10",91.6,93.0,91.7,92.5
"Indizes","Nominal","47: Total Detailhandel","2006M11",98.9,97.9,92.9,92.8
"Indizes","Nominal","47: Total Detailhandel","2006M12",113.2,113.4,93.4,93.3
"Indizes","Nominal","47: Total Detailhandel","2007M01",92.7,92.2,94.4,93.8
"Indizes","Nominal","47: Total Detailhandel","2007M02",83.8,84.3,93.5,94.3
"Indizes","Nominal","47: Total Detailhandel","2007M03",94.6,92.9,95.0,94.5
"Indizes","Nominal","47: Total Detailhandel","2007M04",92.2,93.9,95.6,94.7
"Indizes","Nominal","47: Total Detailhandel","2007M05",96.9,96.5,94.1,94.9
"Indizes","Nominal","47: Total Detailhandel","2007M06",92.4,90.7,94.6,95.2
"Indizes","Nominal","47: Total Detailhandel","2007M07",93.1,94.6,95.4,95.5
"Indizes","Nominal","47: Total Detailhandel","2007M08",92.9,91.8,96.9,95.9
"Indizes","Nominal","47: Total Detailhandel","2007M09",91.3,92.0,96.0,96.2
"Indizes","Nominal","47: Total Detailhandel","2007M10",97.9,97.6,96.3,96.6
"Indizes","Nominal","47: Total Detailhandel","2007M11",102.9,101.7,97.0,97.0
"Indizes","Nominal","47: Total Detailhandel","2007M12",116.1,117.8,96.9,97.3
"Indizes","Nominal","47: Total Detailhandel","2008M01",96.0,95.3,98.0,97.8
"Indizes","Nominal","47: Total Detailhandel","2008M02",92.1,89.0,98.8,98.2
"Indizes","Nominal","47: Total Detailhandel","2008M03",94.5,96.2,98.1,98.7
"Indizes","Nominal","47: Total Detailhandel","2008M04",96.4,95.0,97.1,99.1
"Indizes","Nominal","47: Total Detailhandel","2008M05",106.2,104.3,101.5,99.5
"Indizes","Nominal","47: Total Detailhandel","2008M06",94.9,96.0,99.9,99.9
"Indizes","Nominal","47: Total Detailhandel","2008M07",101.1,99.9,100.2,100.1
"Indizes","Nominal","47: Total Detailhandel","2008M08",94.3,95.0,100.2,100.1
"Indizes","Nominal","47: Total Detailhandel","2008M09",99.5,99.4,103.7,99.9
"Indizes","Nominal","47: Total Detailhandel","2008M10",102.3,100.9,99.4,99.7
"Indizes","Nominal","47: Total Detailhandel","2008M11",101.6,102.4,98.1,99.4
"Indizes","Nominal","47: Total Detailhandel","2008M12",120.6,121.3,99.5,99.1
"Indizes","Nominal","47: Total Detailhandel","2009M01",96.7,95.7,99.0,99.0
"Indizes","Nominal","47: Total Detailhandel","2009M02",88.4,89.0,99.1,98.9
"Indizes","Nominal","47: Total Detailhandel","2009M03",95.1,96.8,98.5,98.9
"Indizes","Nominal","47: Total Detailhandel","2009M04",96.9,95.6,98.1,98.9
"Indizes","Nominal","47: Total Detailhandel","2009M05",103.4,103.2,100.2,99.0
"Indizes","Nominal","47: Total Detailhandel","2009M06",94.9,95.5,99.1,99.2
"Indizes","Nominal","47: Total Detailhandel","2009M07",100.8,99.4,99.3,99.5
"Indizes","Nominal","47: Total Detailhandel","2009M08",92.5,94.0,99.5,99.9
"Indizes","Nominal","47: Total Detailhandel","2009M09",96.7,96.1,100.1,100.4
"Indizes","Nominal","47: Total Detailhandel","2009M10",104.8,103.0,101.5,100.8
"Indizes","Nominal","47: Total Detailhandel","2009M11",101.1,102.8,98.8,101.2
"Indizes","Nominal","47: Total Detailhandel","2009M12",124.9,124.8,102.3,101.5
"Indizes","Nominal","47: Total Detailhandel","2010M01",95.8,96.9,100.7,101.6
"Indizes","Nominal","47: Total Detailhandel","2010M02",90.3,90.9,101.5,101.5
"Indizes","Nominal","47: Total Detailhandel","2010M03",102.4,100.5,101.9,101.4
"Indizes","Nominal","47: Total Detailhandel","2010M04",98.0,98.3,101.2,101.2
"Indizes","Nominal","47: Total Detailhandel","2010M05",102.2,104.2,100.9,101.0
"Indizes","Nominal","47: Total Detailhandel","2010M06",98.1,96.9,100.1,101.0
"Indizes","Nominal","47: Total Detailhandel","2010M07",103.8,102.0,101.6,101.1
"Indizes","Nominal","47: Total Detailhandel","2010M08",95.1,95.0,100.7,101.3
"Indizes","Nominal","47: Total Detailhandel","2010M09",99.1,98.1,102.2,101.4
"Indizes","Nominal","47: Total Detailhandel","2010M10",102.8,103.2,101.6,101.5
"Indizes","Nominal","47: Total Detailhandel","2010M11",105.2,105.1,101.2,101.4
"Indizes","Nominal","47: Total Detailhandel","2010M12",126.6,123.6,101.3,101.3
"Indizes","Nominal","47: Total Detailhandel","2011M01",95.2,95.9,100.0,101.1
"Indizes","Nominal","47: Total Detailhandel","2011M02",89.9,90.5,101.5,101.0
"Indizes","Nominal","47: Total Detailhandel","2011M03",100.8,100.0,101.1,100.9
"Indizes","Nominal","47: Total Detailhandel","2011M04",102.4,100.8,104.0,100.8
"Indizes","Nominal","47: Total Detailhandel","2011M05",104.4,102.4,99.1,100.5
"Indizes","Nominal","47: Total Detailhandel","2011M06",96.2,97.9,100.6,100.2
"Indizes","Nominal","47: Total Detailhandel","2011M07",101.0,101.3,100.8,99.9
"Indizes","Nominal","47: Total Detailhandel","2011M08",92.0,91.4,97.0,99.5
"Indizes","Nominal","47: Total Detailhandel","2011M09",95.7,94.6,98.5,99.2
"Indizes","Nominal","47: Total Detailhandel","2011M10",99.7,100.7,99.3,99.0
"Indizes","Nominal","47: Total Detailhandel","2011M11",103.4,102.7,98.8,99.1
"Indizes","Nominal","47: Total Detailhandel","2011M12",124.2,119.8,98.1,99.3
"Indizes","Nominal","47: Total Detailhandel","2012M01",96.6,96.3,100.7,99.7
"Indizes","Nominal","47: Total Detailhandel","2012M02",91.7,88.6,99.9,100.2
"Indizes","Nominal","47: Total Detailhandel","2012M03",103.9,102.0,102.9,100.7
"Indizes","Nominal","47: Total Detailhandel","2012M04",95.8,97.5,100.6,101.0
"Indizes","Nominal","47: Total Detailhandel","2012M05",105.8,105.3,102.0,101.3
"Indizes","Nominal","47: Total Detailhandel","2012M06",101.2,99.4,101.3,101.4
"Indizes","Nominal","47: Total Detailhandel","2012M07",100.4,101.9,101.5,101.4
"Indizes","Nominal","47: Total Detailhandel","2012M08",95.9,94.9,100.6,101.2
"Indizes","Nominal","47: Total Detailhandel","2012M09",96.7,97.4,101.5,101.0
"Indizes","Nominal","47: Total Detailhandel","2012M10",102.6,102.2,101.0,100.9
"Indizes","Nominal","47: Total Detailhandel","2012M11",105.6,104.4,100.3,100.8
"Indizes","Nominal","47: Total Detailhandel","2012M12",121.1,122.9,100.6,100.8
"Indizes","Nominal","47: Total Detailhandel","2013M01",97.4,96.6,101.1,100.9
"Indizes","Nominal","47: Total Detailhandel","2013M02",88.8,89.4,101.3,101.1
"Indizes","Nominal","47: Total Detailhandel","2013M03",100.3,100.1,100.9,101.3
"Indizes","Nominal","47: Total Detailhandel","2013M04",98.1,98.5,101.5,101.5
"Indizes","Nominal","47: Total Detailhandel","2013M05",105.9,105.1,102.0,101.6
"Indizes","Nominal","47: Total Detailhandel","2013M06",99.9,100.1,101.4,101.7
"Indizes","Nominal","47: Total Detailhandel","2013M07",102.3,101.9,101.7,101.8
"Indizes","Nominal","47: Total Detailhandel","2013M08",97.8,96.6,102.4,101.9
"Indizes","Nominal","47: Total Detailhandel","2013M09",95.8,97.4,101.7,101.9
"Indizes","Nominal","47: Total Detailhandel","2013M10",103.4,102.3,101.2,101.9
"Indizes","Nominal","47: Total Detailhandel","2013M11",109.5,108.1,103.5,102.0
"Indizes","Nominal","47: Total Detailhandel","2013M12",122.0,124.8,102.1,102.0
"Indizes","Nominal","47: Total Detailhandel","2014M01",96.6,95.8,100.5,102.0
"Indizes","Nominal","47: Total Detailhandel","2014M02",88.9,89.5,101.7,102.0
"Indizes","Nominal","47: Total Detailhandel","2014M03",100.6,102.0,102.8,102.1
"Indizes","Nominal","47: Total Detailhandel","2014M04",99.9,99.0,101.9,102.1
"Indizes","Nominal","47: Total Detailhandel","2014M05",106.8,104.4,101.4,102.2
"Indizes","Nominal","47: Total Detailhandel","2014M06",99.8,102.2,103.0,102.2
"Indizes","Nominal","47: Total Detailhandel","2014M07",101.5,100.4,100.4,102.2
"Indizes","Nominal","47: Total Detailhandel","2014M08",96.4,97.2,103.0,102.1
"Indizes","Nominal","47: Total Detailhandel","2014M09",97.4,97.3,101.8,101.9
"Indizes","Nominal","47: Total Detailhandel","2014M10",103.6,102.1,101.2,101.6
"Indizes","Nominal","47: Total Detailhandel","2014M11",105.6,106.4,101.6,101.2
"Indizes","Nominal","47: Total Detailhandel","2014M12",125.4,126.1,102.9,100.8
"Indizes","Nominal","47: Total Detailhandel","2015M01",96.6,95.6,100.5,100.4
"Indizes","Nominal","47: Total Detailhandel","2015M02",86.6,87.2,99.4,100.2
"Indizes","Nominal","47: Total Detailhandel","2015M03",98.9,99.3,100.0,100.1
"Indizes","Nominal","47: Total Detailhandel","2015M04",97.3,97.5,100.2,100.2
"Indizes","Nominal","47: Total Detailhandel","2015M05",101.6,102.8,100.1,100.3
"Indizes","Nominal","47: Total Detailhandel","2015M06",101.3,100.6,101.0,100.4
"Indizes","Nominal","47: Total Detailhandel","2015M07",101.5,100.1,100.4,100.3
"Indizes","Nominal","47: Total Detailhandel","2015M08",92.6,94.2,99.9,100.2
"Indizes","Nominal","47: Total Detailhandel","2015M09",96.1,95.4,100.0,99.9
"Indizes","Nominal","47: Total Detailhandel","2015M10",102.4,100.6,99.7,99.6
"Indizes","Nominal","47: Total Detailhandel","2015M11",101.9,103.6,98.5,99.4
"Indizes","Nominal","47: Total Detailhandel","2015M12",123.2,123.1,100.3,99.1
"Indizes","Nominal","47: Total Detailhandel","2016M01",92.9,93.9,99.0,98.9
"Indizes","Nominal","47: Total Detailhandel","2016M02",88.7,86.3,98.4,98.6
"Indizes","Nominal","47: Total Detailhandel","2016M03",97.6,97.2,97.9,98.3
"Indizes","Nominal","47: Total Detailhandel","2016M04",97.6,95.7,98.2,98.0
"Indizes","Nominal","47: Total Detailhandel","2016M05",99.3,100.8,98.5,97.9
"Indizes","Nominal","47: Total Detailhandel","2016M06",98.4,96.9,97.0,97.8
"Indizes","Nominal","47: Total Detailhandel","2016M07",97.1,97.5,97.8,98.0
"Indizes","Nominal","47: Total Detailhandel","2016M08",93.1,92.5,98.2,98.2
"Indizes","Nominal","47: Total Detailhandel","2016M09",94.7,93.7,98.4,98.5
"Indizes","Nominal","47: Total Detailhandel","2016M10",99.4,100.4,99.5,98.8
"Indizes","Nominal","47: Total Detailhandel","2016M11",105.0,104.3,98.7,99.1
"Indizes","Nominal","47: Total Detailhandel","2016M12",122.5,118.2,96.3,99.4
"Indizes","Nominal","47: Total Detailhandel","2017M01",94.3,94.1,99.5,99.5
"Indizes","Nominal","47: Total Detailhandel","2017M02",87.3,87.9,100.2,99.7
"Indizes","Nominal","47: Total Detailhandel","2017M03",102.0,100.9,101.4,99.7
"Indizes","Nominal","47: Total Detailhandel","2017M04",95.0,95.4,97.9,99.6
"Indizes","Nominal","47: Total Detailhandel","2017M05",102.8,101.6,99.5,99.4
"Indizes","Nominal","47: Total Detailhandel","2017M06",99.8,99.4,99.3,99.3
"Indizes","Nominal","47: Total Detailhandel","2017M07",97.7,98.7,99.0,99.2
"Indizes","Nominal","47: Total Detailhandel","2017M08",93.5,92.5,98.3,99.3
"Indizes","Nominal","47: Total Detailhandel","2017M09",97.5,96.3,101.3,99.5
"Indizes","Nominal","47: Total Detailhandel","2017M10",98.5,100.1,99.0,99.8
"Indizes","Nominal","47: Total Detailhandel","2017M11",108.1,107.0,100.9,100.2
"Indizes","Nominal","47: Total Detailhandel","2017M12",123.0,123.2,100.6,100.6
"Indizes","Nominal","47: Total Detailhandel","2018M01",95.5,95.0,100.7,100.8
"Indizes","Nominal","47: Total Detailhandel","2018M02",87.8,88.4,100.7,101.0
"Indizes","Nominal","47: Total Detailhandel","2018M03",103.4,101.1,101.5,101.1
"Indizes","Nominal","47: Total Detailhandel","2018M04",96.5,98.7,101.1,101.1
"Indizes","Nominal","47: Total Detailhandel","2018M05",103.1,102.6,100.7,101.1
"Indizes","Nominal","47: Total Detailhandel","2018M06",103.7,101.8,101.7,101.1
"Indizes","Nominal","47: Total Detailhandel","2018M07",98.8,100.4,100.6,101.0
"Indizes","Nominal","47: Total Detailhandel","2018M08",96.4,95.3,101.2,101.0
"Indizes","Nominal","47: Total Detailhandel","2018M09",94.3,95.0,100.0,101.1
"Indizes","Nominal","47: Total Detailhandel","2018M10",103.1,102.7,101.7,101.2
"Indizes","Nominal","47: Total Detailhandel","2018M11",109.0,107.8,101.2,101.3
"Indizes","Nominal","47: Total Detailhandel","2018M12",121.8,123.6,101.2,101.3
"Indizes","Nominal","47: Total Detailhandel","2019M01",96.2,95.5,101.6,101.4
"Indizes","Nominal","47: Total Detailhandel","2019M02",88.4,89.0,101.4,101.4
"Indizes","Nominal","47: Total Detailhandel","2019M03",100.2,100.9,101.1,101.5
"Indizes","Nominal","47: Total Detailhandel","2019M04",99.8,99.4,102.0,101.7
"Indizes","Nominal","47: Total Detailhandel","2019M05",105.0,103.0,101.0,101.8
"Indizes","Nominal","47: Total Detailhandel","2019M06",102.0,103.5,103.4,102.0
"Indizes","Nominal","47: Total Detailhandel","2019M07",102.8,102.5,102.7,102.0
"Indizes","Nominal","47: Total Detailhandel","2019M08",96.9,95.7,101.5,102.1
"Indizes","Nominal","47: Total Detailhandel","2019M09",95.2,96.9,101.9,102.1
"Indizes","Nominal","47: Total Detailhandel","2019M10",104.2,103.0,102.0,102.2
"Indizes","Nominal","47: Total Detailhandel","2019M11",110.7,109.3,102.3,102.3
"Indizes","Nominal","47: Total Detailhandel","2019M12",122.2,125.0,102.8,102.4
"Indizes","Nominal","47: Total Detailhandel","2020M01",96.7,95.9,102.4,102.6
"Indizes","Nominal","47: Total Detailhandel","2020M02",93.5,90.1,102.6,102.6
"Indizes","Nominal","47: Total Detailhandel","2020M03",93.2,94.9,94.9,102.7
"Indizes","Nominal","47: Total Detailhandel","2020M04",81.6,80.6,82.8,102.8
"Indizes","Nominal","47: Total Detailhandel","2020M05",110.4,110.2,107.9,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M06",105.8,106.5,106.4,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M07",107.5,106.0,106.3,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M08",97.4,99.0,104.8,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M09",99.1,98.5,103.3,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M10",110.2,108.4,107.4,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M11",109.6,111.5,104.0,102.9
"Indizes","Nominal","47: Total Detailhandel","2020M12",130.5,130.4,107.6,102.9
"Indizes","Nominal","47: Total Detailhandel","2021M01",93.4,94.5,101.3,102.9
"Indizes","Nominal","47: Total Detailhandel","2021M02",82.5,83.1,94.5,103.0
"Indizes","Nominal","47: Total Detailhandel","2021M03",118.1,115.9,115.6,102.9
"Indizes","Nominal","47: Total Detailhandel","2021M04",110.1,110.5,113.8,102.8
"Indizes","Nominal","47: Total Detailhandel","2021M05",110.1,112.2,109.7,102.8
"Indizes","Nominal","47: Total Detailhandel","2021M06",107.7,106.4,106.3,102.8
"Indizes","Nominal","47: Total Detailhandel","2021M07",105.2,103.4,103.8,102.9
"Indizes","Nominal","47: Total Detailhandel","2021M08",99.8,99.7,105.2,103.1
"Indizes","Nominal","47: Total Detailhandel","2021M09",101.5,100.5,105.1,103.1
"Indizes","Nominal","47: Total Detailhandel","2021M10",109.3,109.7,108.7,107.7
"Indizes","Nominal","47: Total Detailhandel","2021M11",116.6,116.5,108.6,107.7
"Indizes","Nominal","47: Total Detailhandel","2021M12",133.4,130.2,107.9,107.6
"Indizes","Nominal","47: Total Detailhandel","2022M01",99.4,100.1,107.7,107.7
"Indizes","Nominal","47: Total Detailhandel","2022M02",93.9,94.6,107.5,107.9
"Indizes","Nominal","47: Total Detailhandel","2022M03",110.6,109.7,109.2,108.2
"Indizes","Nominal","47: Total Detailhandel","2022M04",106.9,105.3,108.8,108.5
"Indizes","Nominal","47: Total Detailhandel","2022M05",111.5,111.8,109.0,108.7
"Indizes","Nominal","47: Total Detailhandel","2022M06",108.9,108.6,108.4,108.8
"Indizes","Nominal","47: Total Detailhandel","2022M07",107.6,108.0,108.6,108.9
"Indizes","Nominal","47: Total Detailhandel","2022M08",104.4,103.7,109.2,109.0
"Indizes","Nominal","47: Total Detailhandel","2022M09",106.2,105.0,109.5,109.1
"Indizes","Nominal","47: Total Detailhandel","2022M10",108.5,109.7,108.8,109.2
"Indizes","Nominal","47: Total Detailhandel","2022M11",118.3,117.5,109.4,109.2
"Indizes","Nominal","47: Total Detailhandel","2022M12",133.8,129.0,107.2,109.3
"Indizes","Nominal","47: Total Detailhandel","2023M01",101.3,101.1,109.0,109.4
"Indizes","Nominal","47: Total Detailhandel","2023M02",96.2,96.8,110.0,109.6
"Indizes","Nominal","47: Total Detailhandel","2023M03",111.7,110.5,109.7,109.7
"Indizes","Nominal","47: Total Detailhandel","2023M04",103.1,103.6,107.4,109.8
"Indizes","Nominal","47: Total Detailhandel","2023M05",112.9,113.0,110.0,109.9
"Indizes","Nominal","47: Total Detailhandel","2023M06",114.5,112.6,112.2,110.1
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M01",80.0,80.6,83.7,84.2
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M02",80.0,77.5,84.8,84.5
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M03",82.2,81.3,84.0,84.8
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M04",84.6,84.9,87.0,85.1
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M05",92.1,89.0,85.8,85.3
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M06",77.2,78.6,83.4,85.6
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M07",81.8,82.6,85.8,85.9
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M08",78.9,78.1,85.8,86.2
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M09",85.0,83.9,86.4,86.4
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M10",86.9,88.4,86.8,86.5
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M11",94.6,93.7,87.3,86.7
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2000M12",109.8,109.9,87.2,86.8
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M01",84.0,83.5,86.5,86.9
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M02",78.8,79.3,86.8,87.0
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M03",85.4,84.1,87.0,87.2
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M04",83.5,84.7,86.6,87.3
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M05",92.6,90.9,87.7,87.5
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M06",83.5,83.0,88.0,87.8
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M07",83.3,84.7,87.9,88.0
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M08",80.9,80.0,87.9,88.3
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M09",85.9,86.5,89.2,88.6
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M10",88.0,87.7,86.2,88.7
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M11",96.7,95.6,89.3,88.9
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2001M12",110.5,112.1,89.3,88.9
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2002M01",86.2,85.5,88.4,88.8
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2002M02",80.6,81.1,89.0,88.7
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2002M03",86.7,86.4,89.2,88.5
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2002M04",85.5,85.9,87.7,88.3
"Indizes","Nominal","47 (ohne 473): Total Detailhandel ohne Tankstellen","2002M05",91.7,91.1,88.0,88.0
